0,PRESSIONE ACQUA DI LINEA [EW166],PRESSIONE ACQUA TURBINA [EW164],G1 : Potenza attiva prodotta Turbina [STRUMENTO],MISURATORE DI PORTATA [EW168],1,2,3
04/12/2024 06:30:00,31.9437,31.156,32.952,12.2287,ND,ND,04/12/2024 07:30:00
04/12/2024 06:45:00,31.9373,31.0909,32.9664,12.2179,ND,ND,04/12/2024 07:45:00
04/12/2024 07:00:00,31.9479,31.1082,33.0696,12.2179,ND,ND,04/12/2024 08:00:00
04/12/2024 07:15:00,31.9161,31.0807,32.9016,12.2106,ND,ND,04/12/2024 08:15:00
04/12/2024 07:30:00,31.8559,31.0084,32.5968,12.2251,ND,ND,04/12/2024 08:30:00
04/12/2024 07:45:00,31.9229,31.0793,33.0252,12.2323,ND,ND,04/12/2024 08:45:00
04/12/2024 08:00:00,31.9032,31.0446,32.8296,12.2251,ND,ND,04/12/2024 09:00:00
04/12/2024 08:15:00,31.6983,30.8637,53.5068,12.1998,ND,ND,04/12/2024 09:15:00
04/12/2024 08:30:00,31.7864,30.965,45.8304,12.1998,ND,ND,04/12/2024 09:30:00
04/12/2024 08:45:00,31.9255,31.0995,33.2832,12.1926,ND,ND,04/12/2024 09:45:00
04/12/2024 09:00:00,31.9052,31.088,32.8176,12.2106,ND,ND,04/12/2024 10:00:00
04/12/2024 09:15:00,31.9236,31.1487,32.8236,12.2106,ND,ND,04/12/2024 10:15:00
04/12/2024 09:30:00,31.895,31.1502,42.4236,12.236,ND,ND,04/12/2024 10:30:00
04/12/2024 09:45:00,31.9076,31.0836,33.3384,12.2179,ND,ND,04/12/2024 10:45:00
04/12/2024 10:00:00,31.6651,30.855,56.5668,12.2287,ND,ND,04/12/2024 11:00:00
04/12/2024 10:15:00,31.7007,30.884,56.964,12.2106,ND,ND,04/12/2024 11:15:00
04/12/2024 10:30:00,31.9359,31.1241,32.1984,12.1889,ND,ND,04/12/2024 11:30:00
04/12/2024 10:45:00,31.9968,31.1458,33.6816,12.1998,ND,ND,04/12/2024 11:45:00
04/12/2024 11:00:00,31.992,31.1777,33.1812,12.207,ND,ND,04/12/2024 12:00:00
04/12/2024 11:15:00,31.8343,31.02,38.7432,12.1998,ND,ND,04/12/2024 12:15:00
04/12/2024 11:30:00,31.5062,30.7089,64.7676,12.2179,ND,ND,04/12/2024 12:30:00
04/12/2024 11:45:00,31.4952,30.6641,70.1124,12.1962,ND,ND,04/12/2024 12:45:00
04/12/2024 12:00:00,31.7838,30.9968,47.718,12.2432,ND,ND,04/12/2024 13:00:00
04/12/2024 12:15:00,31.7583,30.9549,46.0272,12.2106,ND,ND,04/12/2024 13:15:00
04/12/2024 12:30:00,31.5891,30.7465,66.42,12.2179,ND,ND,04/12/2024 13:30:00
04/12/2024 12:45:00,31.6298,30.7914,65.9244,12.2106,ND,ND,04/12/2024 13:45:00
04/12/2024 13:00:00,31.9446,31.114,32.8716,12.2106,ND,ND,04/12/2024 14:00:00
04/12/2024 13:15:00,31.9776,31.1646,32.8092,12.2468,ND,ND,04/12/2024 14:15:00
04/12/2024 13:30:00,31.8832,31.0547,45.4896,12.2143,ND,ND,04/12/2024 14:30:00
04/12/2024 13:45:00,31.6747,30.8478,64.1856,12.2179,ND,ND,04/12/2024 14:45:00
04/12/2024 14:00:00,31.9889,31.1589,33.5412,12.1998,ND,ND,04/12/2024 15:00:00
04/12/2024 14:15:00,31.9203,31.1082,38.7036,12.2251,ND,ND,04/12/2024 15:15:00
04/12/2024 14:30:00,31.7257,30.8999,62.8176,12.2323,ND,ND,04/12/2024 15:30:00
04/12/2024 14:45:00,32.0253,31.1892,37.5756,12.2106,ND,ND,04/12/2024 15:45:00
04/12/2024 15:00:00,31.7691,30.9505,54.9396,12.2106,ND,ND,04/12/2024 16:00:00
04/12/2024 15:15:00,31.7512,30.9115,69.1596,12.2432,ND,ND,04/12/2024 16:15:00
04/12/2024 15:30:00,32.0694,31.2471,33.5352,12.1926,ND,ND,04/12/2024 16:30:00
04/12/2024 15:45:00,31.8005,30.9404,50.7288,12.2323,ND,ND,04/12/2024 16:45:00
04/12/2024 16:00:00,31.6191,30.7899,73.0428,12.2143,ND,ND,04/12/2024 17:00:00
04/12/2024 16:15:00,32.0229,31.1936,32.6724,12.2179,ND,ND,04/12/2024 17:15:00
04/12/2024 16:30:00,31.9326,31.101,32.6352,12.236,ND,ND,04/12/2024 17:30:00
