LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali]
04/12/2024 00:45;03/12/2024 23:45;12,207;31,6525;31,5396;88,884;41,1288;20,8881
04/12/2024 01:00;04/12/2024;12,1998;28,1442;31,7435;80,3268;41,4078;18,2996
04/12/2024 01:15;04/12/2024 00:15;12,1998;27,7763;31,6243;78,588;41,3157;20,75
04/12/2024 01:30;04/12/2024 00:30;12,2179;38,6732;31,4736;106,392;41,0177;21,4949
04/12/2024 01:45;04/12/2024 00:45;12,16;47,9879;30,8815;122,446;33,9417;20,6633
04/12/2024 02:00;04/12/2024 01:00;12,1998;48,9332;30,8315;123,611;35,028;19,8709
04/12/2024 02:15;04/12/2024 01:15;12,207;49,0677;30,8697;124,345;35,4181;19,0392
04/12/2024 02:30;04/12/2024 01:30;12,1781;44,3411;31,2079;117,397;40,3892;18,1615
04/12/2024 02:45;04/12/2024 01:45;12,1926;34,4885;31,6315;97,0404;41,3157;17,6061
04/12/2024 03:00;04/12/2024 02:00;12,1817;31,6525;31,6725;90,1344;41,4078;20,9111
04/12/2024 03:15;04/12/2024 02:15;12,1926;44,2066;30,766;114,588;39,4654;21,3974
04/12/2024 03:30;04/12/2024 02:30;12,1962;41,078;30,9554;108,989;37,9863;20,5183
04/12/2024 03:45;04/12/2024 02:45;12,2179;42,7234;30,8141;112,217;36,518;19,6867
04/12/2024 04:00;04/12/2024 03:00;12,1998;43,2613;30,7511;112,847;35,9111;18,8076
04/12/2024 04:15;04/12/2024 03:15;12,1926;40,4649;30,9762;107,886;34,6704;18,0219
04/12/2024 04:30;04/12/2024 03:30;12,1889;31,3796;31,4875;87,9456;40,6682;17,1903
04/12/2024 04:45;04/12/2024 03:45;12,207;20,4472;31,8623;55,5444;40,7603;19,3169
04/12/2024 05:00;04/12/2024 04:00;12,1926;31,1146;31,5465;87,5724;41,3292;21,4435
04/12/2024 05:15;04/12/2024 04:15;12,2287;29,224;31,6248;82,5828;41,4972;17,1456
04/12/2024 05:30;04/12/2024 04:30;12,2143;14,7792;32,1009;32,9508;41,3184;17,3745
04/12/2024 05:45;04/12/2024 04:45;12,2287;15,859;32,0796;36,858;41,6841;21,0696
04/12/2024 06:00;04/12/2024 05:00;12,1889;30,3038;31,5071;84,6096;40,9446;20,9802
04/12/2024 06:15;04/12/2024 05:15;12,1889;25,7117;31,6358;71,5452;40,5761;16,5916
04/12/2024 06:30;04/12/2024 05:30;12,207;14,9137;32,0902;33,6012;41,4349;17,6061
04/12/2024 06:45;04/12/2024 05:45;118,515;17,6152;31,7982;43,5732;40,7603;21,3974
04/12/2024 07:00;04/12/2024 06:00;12,2143;24,6319;31,6786;67,1424;40,7603;19,1774
04/12/2024 07:15;04/12/2024 06:15;12,2287;14,9137;31,9162;32,8092;40,5761;16,7758
04/12/2024 07:30;04/12/2024 06:30;12,2287;14,8465;31,9437;32,952;40,6736;16,1256
04/12/2024 07:45;04/12/2024 06:45;12,2179;14,9137;31,9373;32,9664;40,8064;16,9126
04/12/2024 08:00;04/12/2024 07:00;12,2179;14,9137;31,9479;33,0696;40,6818;18,0219
04/12/2024 08:15;04/12/2024 07:15;12,2106;14,9137;31,9161;32,9016;40,9446;18,901
04/12/2024 08:30;04/12/2024 07:30;12,2251;14,9137;31,8559;32,5968;40,6682;19,7327
04/12/2024 08:45;04/12/2024 07:45;12,2323;14,9137;31,9229;33,0252;40,9446;18,9498
04/12/2024 09:00;04/12/2024 08:00;12,2251;14,9137;31,9032;32,8296;41,1261;19,9169
04/12/2024 09:15;04/12/2024 08:15;12,1998;20,4472;31,6983;53,5068;40,9256;20,3802
04/12/2024 09:30;04/12/2024 08:30;12,1998;18,2876;31,7864;45,8304;40,8524;17,9298
04/12/2024 09:45;04/12/2024 08:45;12,1926;14,9137;31,9255;33,2832;40,4813;18,2075
04/12/2024 10:00;04/12/2024 09:00;12,2106;14,9137;31,9052;32,8176;40,5761;16,9586
04/12/2024 10:15;04/12/2024 09:15;12,2106;14,9018;31,9236;32,8236;40,9446;17,6874
04/12/2024 10:30;04/12/2024 09:30;12,236;14,9137;31,895;42,4236;40,7603;18,7155
04/12/2024 10:45;04/12/2024 09:45;12,2179;14,9137;31,9076;33,3384;40,9446;19,6867
04/12/2024 11:00;04/12/2024 10:00;12,2287;21,258;31,6651;56,5668;41,0367;20,8421
04/12/2024 11:15;04/12/2024 10:15;12,2106;21,258;31,7007;56,964;40,8524;17,8865
04/12/2024 11:30;04/12/2024 10:30;12,1889;14,7792;31,9359;32,1984;40,8524;17,0467
04/12/2024 11:45;04/12/2024 10:45;12,1998;14,9137;31,9968;33,6816;40,8524;16,0809
04/12/2024 12:00;04/12/2024 11:00;12,207;14,9137;31,992;33,1812;41,4024;18,2536
04/12/2024 12:15;04/12/2024 11:15;12,1998;16,2625;31,8343;38,7432;40,6682;20,6104
04/12/2024 12:30;04/12/2024 11:30;12,2179;23,9595;31,5062;64,7676;39,9287;20,4723
04/12/2024 12:45;04/12/2024 11:45;12,1962;25,4427;31,4952;70,1124;40,205;18,9471
04/12/2024 13:00;04/12/2024 12:00;12,2432;18,695;31,7838;47,718;40,3215;18,4838
04/12/2024 13:15;04/12/2024 12:15;12,2106;18,1531;31,7583;46,0272;40,2917;20,5183
04/12/2024 13:30;04/12/2024 12:30;12,2179;24,2363;31,5891;66,42;40,7603;20,0564
04/12/2024 13:45;04/12/2024 12:45;12,2106;23,9595;31,6298;65,9244;40,8524;18,6383
04/12/2024 14:00;04/12/2024 13:00;12,2106;14,7792;31,9446;32,8716;40,9662;17,0738
04/12/2024 14:15;04/12/2024 13:15;12,2468;14,795;31,9776;32,8092;41,2209;19,0392
04/12/2024 14:30;04/12/2024 13:30;12,2143;18,1531;31,8832;45,4896;41,0367;20,9802
04/12/2024 14:45;04/12/2024 13:45;12,2179;23,5521;31,6747;64,1856;40,8524;18,5827
04/12/2024 15:00;04/12/2024 14:00;12,1998;14,9018;31,9889;33,5412;41,0367;18,2549
04/12/2024 15:15;04/12/2024 14:15;12,2251;16,2625;31,9203;38,7036;40,8633;20,9342
